[, 6 , 129 , 0 , 16 , 0 ,]
[, 6 , 47 , 0 , 8 , 0 ,]
[, 6 , 29 , 0 , 9 , 0 ,]
[, 6 , 65 , 0 , 7 , 0 ,]
[, 6 , 59 , 0 , 11 , 0 ,]
[, 6 , 15 , 0 , 88 , 0 ,]
[, 6 , 3 , 0 , 14 , 0 ,]
[, 6 , 61 , 0 , 74 , 0 ,]
[, 6 , 81 , 0 , 177 , 0 ,]
[, 6 , 103 , 0 , 471 , 0 ,]
[, 6 , 71 , 0 , 349 , 0 ,]
[, 6 , 101 , 0 , 248 , 0 ,]
[, 6 , 133 , 0 , 13 , 0 ,]
[, 6 , 13 , 0 , 7 , 0 ,]
[, 6 , 89 , 0 , 40 , 0 ,]
[, 6 , 33 , 0 , 159 , 0 ,]
[, 6 , 107 , 0 , 36 , 0 ,]
[, 6 , 115 , 0 , 201 , 0 ,]
[, 6 , 93 , 0 , 19 , 0 ,]
[, 6 , 55 , 0 , 52 , 0 ,]
[, 6 , 21 , 0 , 178 , 0 ,]
[, 6 , 69 , 0 , 165 , 0 ,]
[, 6 , 43 , 0 , 7 , 0 ,]
[, 6 , 23 , 0 , 33 , 0 ,]
[, 6 , 1 , 0 , 127 , 0 ,]
[, 6 , 7 , 0 , 14 , 0 ,]
[, 6 , 119 , 0 , 58 , 0 ,]
[, 6 , 27 , 0 , 17 , 0 ,]
[, 6 , 123 , 0 , 12 , 0 ,]
[, 6 , 57 , 0 , 684 , 0 ,]
[, 6 , 125 , 0 , 8 , 0 ,]
[, 6 , 31 , 0 , 459 , 0 ,]
[, 6 , 109 , 0 , 116 , 0 ,]
[, 6 , 113 , 0 , 82 , 0 ,]
[, 6 , 91 , 0 , 97 , 0 ,]
[, 6 , 131 , 0 , 31 , 0 ,]
[, 6 , 63 , 0 , 26 , 0 ,]
[, 6 , 5 , 0 , 90 , 0 ,]
[, 6 , 45 , 0 , 8 , 0 ,]
[, 6 , 37 , 0 , 6 , 0 ,]
[, 6 , 77 , 0 , 4 , 0 ,]
[, 6 , 39 , 0 , 23 , 0 ,]
