[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 51 , 7 , 8.603745900875797 , 1.0518694445968624 , 0 , 9.65561534547266 , 0 , 1 ,]
[, 92 , 22 , 13.187724320499346 , 0.03768189564087803 , 0 , 13.225406216140223 , 0 , 1 ,]
[, 47 , 2 , 12.602706309548715 , 1.2792003439744606 , 0 , 13.881906653523176 , 0 , 1 ,]
[, 56 , 4 , 8.399680044576922 , 1.0438998334774852 , 0 , 9.443579878054408 , 0 , 1 ,]
[, 81 , 4 , 9.329080613631355 , 0 , 0 , 9.329080613631355 , 0 , 1 ,]
[, 63 , 22 , 0.9288487432586443 , 0.25560486141576005 , 0 , 1.1844536046744043 , 0 , 1 ,]
[, 39 , 3 , 9.428096857713266 , 0 , 0 , 9.428096857713266 , 0 , 1 ,]
[, 40 , 14 , 17.968597955772132 , 0.08292875514916204 , 0 , 18.051526710921294 , 0 , 1 ,]
[, 75 , 1 , 13.271771688051368 , 1.1840804358069088 , 0 , 14.455852123858277 , 0 , 1 ,]
[, 101 , 1 , 15.415294009699569 , 0.24523977100017563 , 0 , 15.660533780699744 , 0 , 1 ,]
[, 84 , 14 , 8.038712912301621 , 0.4434066859219133 , 0 , 8.482119598223534 , 0 , 1 ,]
[, 94 , 6 , 10.419752255299374 , 0 , 0 , 10.419752255299374 , 0 , 1 ,]
[, 91 , 32 , -0.3996852097016064 , 0 , 0 , -0.3996852097016064 , 0 , 1 ,]
[, 98 , 10 , 9.130319177816952 , 0.5510570922407659 , 0 , 9.681376270057719 , 0 , 1 ,]
[, 72 , 1 , 10.008111431734855 , 0.5001779145833127 , 0 , 10.508289346318168 , 0 , 1 ,]
[, 79 , 1 , 8.390510175730126 , 0.061829381034915386 , 0 , 8.452339556765041 , 0 , 1 ,]
[, 45 , 6 , 14.32660296457499 , 2.9187025109436027 , 0 , 17.24530547551859 , 0 , 1 ,]
[, 55 , 3 , 12.999204229455902 , 3.092064677419054 , 0 , 16.091268906874955 , 0 , 1 ,]
[, 52 , 13 , 18.305919554184772 , 0.03048332808720655 , 0 , 18.33640288227198 , 0 , 1 ,]
