[,behaviorspace-run-number,which-storm?,num-citizens,num-broadcasters,num-aggregators,distribute_population,earliest,latest,wind-threshold,forc-weight,evac-weight,envc-weight,network-distance,network-size,use-census-data,census-tract-min-pop,citizen-to-census-population-ratio,census-tract-max-pop,under-18-assessment-increase,over-65-assessment-decrease,limited-english-assessment-decrease,foodstamps-assessment-decrease,no-vehicle-assessment-modification,no-internet-assessment-modification,]
[, 0 , MICHAEL , 127 , 10 , 10 , false , 198 , 0 , 119 , 1.44 , 0.53 , 1 , 50 , 2 , false , 5900 , 6000 , 10000 , 0.5 , 0.4 , 1 , 1 , 0.5 , 1 ,]

[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 136 , 10 , 10.654279519617964 , 0 , 0 , 10.654279519617964 , 0 , 1 ,]
[, 77 , 1 , 3.7893335382340676 , 1.2275596133316364 , 0 , 5.016893151565704 , 0 , 1 ,]
[, 74 , 18 , 13.927775173339946 , 0.20952276771013045 , 0 , 14.137297941050075 , 0 , 1 ,]
[, 170 , 10 , 14.865476385942538 , 2.9168660042337677 , 0 , 17.782342390176304 , 0 , 1 ,]
[, 50 , 15 , 8.713945422341638 , 0.9350770853444473 , 0 , 9.649022507686086 , 0 , 1 ,]
[, 149 , 12 , 10.374059459036163 , 0 , 0 , 10.374059459036163 , 0 , 1 ,]
[, 64 , 1 , 8.123642147972049 , 0 , 0 , 8.123642147972049 , 0 , 1 ,]
[, 105 , 1 , 7.767115716726507 , 0 , 0 , 7.767115716726507 , 0 , 1 ,]
[, 123 , 4 , 0.6154920095462514 , 0.8458944554081009 , 0 , 1.4613864649543524 , 0 , 1 ,]
[, 151 , 1 , 8.715840014124208 , 0 , 0 , 8.715840014124208 , 0 , 1 ,]
[, 117 , 4 , 10.52891441801488 , 0 , 0 , 10.52891441801488 , 0 , 1 ,]
[, 145 , 1 , 6.333987946431151 , 0 , 0 , 6.333987946431151 , 0 , 1 ,]
[, 168 , 1 , 9.156035696811577 , 0.2738803145903785 , 0 , 9.429916011401955 , 0 , 1 ,]
[, 139 , 8 , 13.42765696281368 , 1.5401695877387016 , 0 , 14.967826550552381 , 0 , 1 ,]
[, 96 , 11 , 9.079748394039695 , 0.502454457837202 , 0 , 9.582202851876897 , 0 , 1 ,]
[, 101 , 1 , 9.42296999347053 , 0 , 0 , 9.42296999347053 , 0 , 1 ,]
[, 83 , 32 , 1.547633086785057 , 0.3120015192461923 , 0 , 1.8596346060312492 , 0 , 1 ,]
[, 97 , 16 , 9.369951301230389 , 1.1151062260171507 , 0 , 10.48505752724754 , 0 , 1 ,]
[, 156 , 6 , 12.106504453705261 , 2.1452279662926075 , 0 , 14.251732419997868 , 0 , 1 ,]
[, 147 , 1 , 18.33317515133341 , 0 , 0 , 18.33317515133341 , 0 , 1 ,]
[, 153 , 6 , 15.205030150639418 , 2.131299926946985 , 0 , 17.336330077586403 , 0 , 1 ,]
[, 98 , 2 , 17.170159355415436 , 1.1042415849553984 , 0 , 18.274400940370835 , 0 , 1 ,]
[, 93 , 16 , 9.648540484507404 , 0 , 0 , 9.648540484507404 , 0 , 1 ,]
[, 92 , 2 , 9.70070133969641 , 0.2809725492698335 , 0 , 9.981673888966244 , 0 , 1 ,]
[, 134 , 5 , 17.68971822706952 , 0.7697234789000055 , 0 , 18.459441705969525 , 0 , 1 ,]
[, 148 , 1 , 8.18680709524559 , 0.8872387619479868 , 0 , 9.074045857193576 , 0 , 1 ,]
[, 144 , 2 , 16.696248217498457 , 0 , 0 , 16.696248217498457 , 0 , 1 ,]
[, 80 , 11 , 9.838890992081105 , 0.17564716466811497 , 0 , 10.01453815674922 , 0 , 1 ,]
[, 165 , 1 , 11.773184908198964 , 1.132176758576524 , 0 , 12.905361666775487 , 0 , 1 ,]
[, 140 , 3 , 10.076302834206988 , 0 , 0 , 10.076302834206988 , 0 , 1 ,]
[, 141 , 1 , 11.643639590644343 , 2.811011981545543 , 0 , 14.454651572189885 , 0 , 1 ,]
[, 91 , 1 , 8.865918870614463 , 0 , 0 , 8.865918870614463 , 0 , 1 ,]
[, 110 , 5 , 7.495958336236244 , 0 , 0 , 7.495958336236244 , 0 , 1 ,]
[, 103 , 1 , 5.201020380001664 , 0.46051352545472873 , 0 , 5.661533905456392 , 0 , 1 ,]
[, 125 , 1 , 14.66445348824447 , 1.4385432868645753 , 0 , 16.102996775109045 , 0 , 1 ,]
[, 70 , 18 , 18.725951142456648 , 0.20381088800931477 , 0 , 18.929762030465962 , 0 , 1 ,]
[, 162 , 10 , 9.180338167304875 , 0 , 0 , 9.180338167304875 , 0 , 1 ,]
[, 104 , 6 , 12.783445447006402 , 2.5160768686508876 , 0 , 15.29952231565729 , 0 , 1 ,]
[, 66 , 1 , 9.696186399793733 , 0.9027533552122271 , 0 , 10.59893975500596 , 0 , 1 ,]
[, 85 , 30 , 4.955271732311949 , 0 , 0 , 4.955271732311949 , 0 , 1 ,]
[, 133 , 11 , 9.393498905348997 , 0.578315865564388 , 0 , 9.971814770913385 , 0 , 1 ,]
[, 73 , 1 , 9.623700605425157 , 1.1404282018063352 , 0 , 10.764128807231492 , 0 , 1 ,]
[, 118 , 20 , 15.618018731881778 , 0.6284184731371601 , 0 , 16.24643720501894 , 0 , 1 ,]
[, 114 , 1 , 9.570753324272552 , 0 , 0 , 9.570753324272552 , 0 , 1 ,]
[, 171 , 16 , 12.791616792102571 , 0.27623252817248467 , 0 , 13.067849320275055 , 0 , 1 ,]
[, 76 , 9 , 11.547417403629419 , 0 , 0 , 11.547417403629419 , 0 , 1 ,]
[, 86 , 12 , 14.053538260438282 , 2.155724412788319 , 0 , 16.2092626732266 , 0 , 1 ,]
[, 89 , 6 , 18.566846478887335 , 1.6458448566728987 , 0 , 20.212691335560233 , 0 , 1 ,]
[, 52 , 6 , 7.677438131139206 , 0.7114051003729416 , 0 , 8.388843231512148 , 0 , 1 ,]
[, 57 , 24 , 18.660071573927272 , 3.0617376444880056 , 0 , 21.721809218415277 , 0 , 1 ,]
[, 84 , 1 , 8.250504249243392 , 0 , 0 , 8.250504249243392 , 0 , 1 ,]
