[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 88 , 28 , 0.41747863927673284 , 0 , 0 , 0.41747863927673284 , 0 , 1 ,]
[, 51 , 26 , -0.16201078622019943 , 1.0518694445968624 , 0 , 0.889858658376663 , 0 , 1 ,]
[, 60 , 6 , 2.213754542745455 , 0 , 0 , 2.213754542745455 , 0 , 1 ,]
[, 67 , 16 , -1.104034917682347 , 0 , 0 , -1.104034917682347 , 0 , 1 ,]
[, 48 , 11 , 2.6786372592623957 , 0.429380214704339 , 0 , 3.1080174739667346 , 0 , 1 ,]
[, 46 , 15 , 1.9742530499936606 , 0.9563259692592238 , 0 , 2.9305790192528844 , 0 , 1 ,]
[, 77 , 7 , 5.780093242930401 , 0.9347052904074223 , 0 , 6.714798533337824 , 0 , 1 ,]
[, 99 , 22 , -0.15486044017064296 , 0.7924604738035812 , 0 , 0.6376000336329383 , 0 , 1 ,]
[, 43 , 12 , 2.3680495297760418 , 1.0721631483132916 , 0 , 3.4402126780893334 , 0 , 1 ,]
[, 98 , 20 , -0.17293516633014083 , 0.5510570922407659 , 0 , 0.3781219259106251 , 0 , 1 ,]
[, 63 , 11 , 3.6483688425347727 , 0.25560486141576005 , 0 , 3.9039737039505327 , 0 , 1 ,]
[, 87 , 7 , 5.252860408144727 , 0 , 0 , 5.252860408144727 , 0 , 1 ,]
[, 73 , 1 , 15.56002792871488 , 0.6051530992511425 , 0 , 16.165181027966025 , 0 , 1 ,]
[, 94 , 22 , -1.432492970621944 , 0 , 0 , -1.432492970621944 , 0 , 1 ,]
[, 50 , 18 , 3.134341820193816 , 0.838132446691454 , 0 , 3.97247426688527 , 0 , 1 ,]
[, 56 , 14 , 0.1785349547634346 , 1.0438998334774852 , 0 , 1.2224347882409197 , 0 , 1 ,]
[, 101 , 1 , 8.345717330431667 , 0.24523977100017563 , 0 , 8.590957101431842 , 0 , 1 ,]
[, 61 , 8 , 6.109232574643902 , 0 , 0 , 6.109232574643902 , 0 , 1 ,]
[, 49 , 20 , 0.09122746911168393 , 0.01593912158160068 , 0 , 0.10716659069328462 , 0 , 1 ,]
[, 83 , 11 , 5.889198243433878 , 0.3046813207831584 , 0 , 6.193879564217037 , 0 , 1 ,]
[, 80 , 10 , 4.950996875570114 , 0 , 0 , 4.950996875570114 , 0 , 1 ,]
[, 75 , 1 , 1.3917484069182882 , 1.1840804358069088 , 0 , 2.5758288427251967 , 0 , 1 ,]
[, 74 , 28 , -1.395553358754272 , 1.0862930319756166 , 0 , -0.30926032677865556 , 0 , 1 ,]
[, 82 , 12 , 1.2751145138535331 , 0 , 0 , 1.2751145138535331 , 0 , 1 ,]
[, 66 , 26 , -0.7545367609024035 , 0.7867310762020049 , 0 , 0.03219431529960137 , 0 , 1 ,]
