[,behaviorspace-run-number,which-storm?,num-citizens,num-broadcasters,num-aggregators,distribute_population,earliest,latest,wind-threshold,forc-weight,evac-weight,envc-weight,percent_all_evacuated,network-distance,network-size,use-census-data,census-tract-min-pop,citizen-to-census-population-ratio,census-tract-max-pop,under-18-assessment-increase,over-65-assessment-decrease,limited-english-assessment-decrease,foodstamps-assessment-decrease,no-vehicle-assessment-modification,no-internet-assessment-modification,output-list-a, hist-list,hist-pcts,]
[, 0 , MICHAEL , 446 , 10 , 10 , false , 54 , 0 , 116 , 0.2 , 1 , 1 , 0 , 50 , 2 , false , 5900 , 6000 , 10000 , 0.5 , 0.4 , 1 , 1 , 0.5 , 1 , 0 0 0 0 0 0 0 0 0 0 0 0 18 66 6 84 241 31 , 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 1 5 7 14 0 0 0 0 0 0 0 0 0 0 0 -- , 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0.037037037037037035 0.18518518518518517 0.25925925925925924 0.5185185185185185 0 0 0 0 0 0 0 0 0 0 0 -- ,]
[,behaviorspace-run-number,which-storm?,num-citizens,num-broadcasters,num-aggregators,distribute_population,earliest,latest,wind-threshold,forc-weight,evac-weight,envc-weight,percent_all_evacuated,network-distance,network-size,use-census-data,census-tract-min-pop,citizen-to-census-population-ratio,census-tract-max-pop,under-18-assessment-increase,over-65-assessment-decrease,limited-english-assessment-decrease,foodstamps-assessment-decrease,no-vehicle-assessment-modification,no-internet-assessment-modification,output-list-a, hist-list,hist-pcts,]
[, 0 , MICHAEL , 446 , 10 , 10 , false , 54 , 0 , 116 , 0.2 , 1 , 1 , 0.004484304932735426 , 50 , 2 , false , 5900 , 6000 , 10000 , 0.5 , 0.4 , 1 , 1 , 0.5 , 1 , 0.09 0 0 0 0 0 2 0 0 0 0 0 23 57 5 82 252 27 , 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 1 5 7 14 0 0 0 0 0 0 0 0 0 0 0 -- , 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0 0.04 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -- 0 0 0 0.037037037037037035 0.18518518518518517 0.25925925925925924 0.5185185185185185 0 0 0 0 0 0 0 0 0 0 0 -- ,]
