[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 91 , 32 , -0.3996852097016064 , 0 , 0 , -0.3996852097016064 , 0 , 1 ,]
[, 47 , 2 , 12.602706309548715 , 1.2792003439744606 , 0 , 13.881906653523176 , 0 , 1 ,]
[, 48 , 1 , 8.907995900972917 , 0.429380214704339 , 0 , 9.337376115677257 , 0 , 1 ,]
[, 54 , 15 , 5.662829126854447 , 1.0475925287467323 , 0 , 6.71042165560118 , 0 , 1 ,]
[, 81 , 4 , 9.329080613631355 , 0 , 0 , 9.329080613631355 , 0 , 1 ,]
[, 57 , 1 , 13.696036316179045 , 2.9169769902500473 , 0 , 16.613013306429092 , 0 , 1 ,]
[, 64 , 12 , 9.36096418328042 , 0.04210651543002849 , 0 , 9.403070698710447 , 0 , 1 ,]
[, 90 , 7 , 6.720771644160496 , 1.1944374309496708 , 0 , 7.915209075110166 , 0 , 1 ,]
[, 63 , 11 , 7.483802866323291 , 0.25560486141576005 , 0 , 7.739407727739051 , 0 , 1 ,]
[, 68 , 1 , 9.05813945625656 , 0.3927261347189681 , 0 , 9.450865590975528 , 0 , 1 ,]
[, 82 , 1 , 10.201007255276863 , 0 , 0 , 10.201007255276863 , 0 , 1 ,]
[, 100 , 2 , 11.643992205495335 , 0.7936900169131117 , 0 , 12.437682222408448 , 0 , 1 ,]
[, 93 , 7 , 10.445295151902318 , 0 , 0 , 10.445295151902318 , 0 , 1 ,]
[, 53 , 12 , 8.9878980516701 , 0.5078826674871898 , 0 , 9.49578071915729 , 0 , 1 ,]
[, 50 , 2 , 9.428687763548897 , 0.838132446691454 , 0 , 10.26682021024035 , 0 , 1 ,]
[, 97 , 1 , 8.953599421943524 , 0 , 0 , 8.953599421943524 , 0 , 1 ,]
[, 56 , 2 , 8.240194985068792 , 1.0438998334774852 , 0 , 9.284094818546277 , 0 , 1 ,]
[, 69 , 5 , 7.766100477073371 , 0 , 0 , 7.766100477073371 , 0 , 1 ,]
[, 89 , 2 , 10.26698888583608 , 0 , 0 , 10.26698888583608 , 0 , 1 ,]
[, 46 , 1 , 8.51071501995659 , 0.9563259692592238 , 0 , 9.467040989215814 , 0 , 1 ,]
[, 40 , 14 , 17.968597955772132 , 0.08292875514916204 , 0 , 18.051526710921294 , 0 , 1 ,]
[, 96 , 14 , 12.527334634667746 , 2.86588748701219 , 0 , 15.393222121679935 , 0 , 1 ,]
[, 58 , 16 , 8.26437029372996 , 0.34592145998217017 , 0 , 8.610291753712131 , 0 , 1 ,]
[, 60 , 1 , 8.625014289071624 , 0 , 0 , 8.625014289071624 , 0 , 1 ,]
[, 101 , 1 , 15.415294009699569 , 0.24523977100017563 , 0 , 15.660533780699744 , 0 , 1 ,]
[, 70 , 8 , 8.142957079126287 , 0.26211345759687077 , 0 , 8.405070536723157 , 0 , 1 ,]
[, 38 , 3 , 12.88088277234071 , 2.9798517218585814 , 0 , 15.860734494199292 , 0 , 1 ,]
[, 79 , 1 , 7.4397790214323 , 0.061829381034915386 , 0 , 7.501608402467215 , 0 , 1 ,]
[, 88 , 14 , 8.580009852622421 , 0 , 0 , 8.580009852622421 , 0 , 1 ,]
[, 72 , 1 , 9.480921780591439 , 0.5001779145833127 , 0 , 9.981099695174752 , 0 , 1 ,]
[, 52 , 13 , 18.305919554184772 , 0.03048332808720655 , 0 , 18.33640288227198 , 0 , 1 ,]
[, 59 , 3 , 18.2692720202375 , 1.7179678342547982 , 0 , 19.987239854492298 , 0 , 1 ,]
[, 39 , 2 , 8.35491177643957 , 0 , 0 , 8.35491177643957 , 0 , 1 ,]
[, 99 , 3 , 9.0273703460502 , 0.7924604738035812 , 0 , 9.819830819853781 , 0 , 1 ,]
[, 44 , 1 , 10.261735454236494 , 0.2945411860069906 , 0 , 10.556276640243484 , 0 , 1 ,]
[, 74 , 14 , 7.116249854523427 , 1.0862930319756166 , 0 , 8.202542886499044 , 0 , 1 ,]
[, 51 , 7 , 8.603745900875797 , 1.0518694445968624 , 0 , 9.65561534547266 , 0 , 1 ,]
[, 94 , 6 , 10.419752255299374 , 0 , 0 , 10.419752255299374 , 0 , 1 ,]
[, 67 , 1 , 7.234219596057193 , 0 , 0 , 7.234219596057193 , 0 , 1 ,]
[, 85 , 11 , 9.467556408192955 , 0 , 0 , 9.467556408192955 , 0 , 1 ,]
[, 61 , 4 , 8.723166440765121 , 0 , 0 , 8.723166440765121 , 0 , 1 ,]
[, 86 , 1 , 10.946395015827889 , 2.676322450677283 , 0 , 13.622717466505172 , 0 , 1 ,]
[, 62 , 1 , 14.327260554923258 , 1.727266127066611 , 0 , 16.05452668198987 , 0 , 1 ,]
[, 42 , 1 , 10.443193398904072 , 0.03759753992125514 , 0 , 10.480790938825326 , 0 , 1 ,]
[, 98 , 5 , 7.351069355072125 , 0.5510570922407659 , 0 , 7.902126447312892 , 0 , 1 ,]
[, 66 , 4 , 9.929407700035139 , 0.7867310762020049 , 0 , 10.716138776237143 , 0 , 1 ,]
[, 87 , 14 , 1.1006930198264588 , 0 , 0 , 1.1006930198264588 , 0 , 1 ,]
[, 78 , 13 , 12.983724750676634 , 3.0300179957161775 , 0 , 16.01374274639281 , 0 , 1 ,]
[, 73 , 1 , 15.56002792871488 , 0.6051530992511425 , 0 , 16.165181027966025 , 0 , 1 ,]
[, 76 , 1 , 6.781811766142855 , 1.012613567165107 , 0 , 7.794425333307962 , 0 , 1 ,]
[, 80 , 3 , 9.740247230451155 , 0 , 0 , 9.740247230451155 , 0 , 1 ,]
[, 84 , 14 , 8.038712912301621 , 0.4434066859219133 , 0 , 8.482119598223534 , 0 , 1 ,]
[, 49 , 5 , 8.572137565477162 , 0.01593912158160068 , 0 , 8.588076687058763 , 0 , 1 ,]
[, 83 , 6 , 8.66133485272008 , 0.3046813207831584 , 0 , 8.966016173503238 , 0 , 1 ,]
[, 71 , 1 , 9.051520392069278 , 0 , 0 , 9.051520392069278 , 0 , 1 ,]
[, 65 , 1 , 11.132967703027791 , 0 , 0 , 11.132967703027791 , 0 , 1 ,]
[, 95 , 8 , 13.041073830921203 , 2.314645268798278 , 0 , 15.355719099719481 , 0 , 1 ,]
[, 45 , 6 , 14.32660296457499 , 2.9187025109436027 , 0 , 17.24530547551859 , 0 , 1 ,]
[, 77 , 1 , 1.0067194676198739 , 0.9347052904074223 , 0 , 1.941424758027296 , 0 , 1 ,]
[, 75 , 1 , 13.744296036982899 , 1.1840804358069088 , 0 , 14.928376472789807 , 0 , 1 ,]
[, 55 , 3 , 12.999204229455902 , 3.092064677419054 , 0 , 16.091268906874955 , 0 , 1 ,]
[, 43 , 1 , 8.748815675846348 , 1.0721631483132916 , 0 , 9.82097882415964 , 0 , 1 ,]
[, 92 , 22 , 13.187724320499346 , 0.03768189564087803 , 0 , 13.225406216140223 , 0 , 1 ,]
[, 41 , 11 , 7.144817652965786 , 0.16315265076433508 , 0 , 7.307970303730121 , 0 , 1 ,]
