[,behaviorspace-run-number,which-storm?,num-citizens,num-broadcasters,num-aggregators,distribute_population,earliest,latest,wind-threshold,forc-weight,evac-weight,envc-weight,network-distance,network-size,use-census-data,census-tract-min-pop,citizen-to-census-population-ratio,census-tract-max-pop,under-18-assessment-increase,over-65-assessment-decrease,limited-english-assessment-decrease,foodstamps-assessment-decrease,no-vehicle-assessment-modification,no-internet-assessment-modification,]
[, 0 , MICHAEL , 127 , 10 , 10 , false , 198 , 0 , 119 , 1.44 , 0.53 , 1 , 50 , 2 , false , 5900 , 6000 , 10000 , 0.5 , 0.4 , 1 , 1 , 0.5 , 1 ,]

[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 61 , 1 , 5.8333926080835266 , 0 , 3 , 8.833392608083527 , 0 , 1 ,]
[, 92 , 4 , -1.2806225320165694 , 0.2809725492698335 , 0 , -0.9996499827467359 , 0 , 1 ,]
[, 90 , 4 , 5.042727715016022 , 0.7860667003865883 , 0 , 5.82879441540261 , 0 , 1 ,]
[, 87 , 4 , 18.510333660833403 , 0.7423574114183944 , 0 , 19.252691072251796 , 0 , 1 ,]
[, 173 , 2 , 0.3358225055672035 , 0.30604244425326554 , 0 , 0.641864949820469 , 0 , 1 ,]
[, 149 , 2 , -0.24274983312249562 , 0 , 3 , 2.7572501668775042 , 0 , 1 ,]
[, 54 , 4 , 1.1473124456191846 , 0.2061033262555849 , 0 , 1.3534157718747695 , 0 , 1 ,]
[, 58 , 2 , 1.636347666891571 , 0.9937678715618902 , 0 , 2.6301155384534614 , 0 , 1 ,]
[, 56 , 1 , 3.7131918748767476 , 0 , 3 , 6.713191874876747 , 0 , 1 ,]
[, 147 , 1 , 18.33317515133341 , 0 , 0 , 18.33317515133341 , 0 , 1 ,]
[, 137 , 4 , -0.19045427287977432 , 0.3818789961127198 , 0 , 0.1914247232329455 , 0 , 1 ,]
[, 78 , 1 , 4.683081192821693 , 0 , 3 , 7.683081192821693 , 0 , 1 ,]
[, 122 , 2 , 5.255088377966936 , 0.12504618326830974 , 0 , 5.380134561235246 , 0 , 1 ,]
[, 150 , 2 , 1.9874966703745895 , 0.343758610962782 , 0 , 2.3312552813373717 , 0 , 1 ,]
[, 100 , 1 , 18.200407420030572 , 2.372426724357894 , 0 , 20.572834144388466 , 0 , 1 ,]
[, 155 , 1 , 10.34529190250373 , 0.8933978144148536 , 0 , 11.238689716918584 , 0 , 1 ,]
[, 101 , 2 , -0.8053999532449369 , 0 , 3 , 2.1946000467550633 , 0 , 1 ,]
[, 161 , 4 , 0.3920932960544548 , 0.46748110636575774 , 0 , 0.8595744024202125 , 0 , 1 ,]
[, 117 , 4 , 10.52891441801488 , 0 , 0 , 10.52891441801488 , 0 , 1 ,]
[, 63 , 1 , 3.516525293228645 , 0 , 3 , 6.516525293228645 , 0 , 1 ,]
[, 64 , 1 , 2.754777412124313 , 0 , 3 , 5.754777412124313 , 0 , 1 ,]
[, 167 , 1 , 0.15243050929177474 , 0.04625716631662964 , 3 , 3.1986876756084044 , 0 , 1 ,]
[, 93 , 8 , 1.037486976069409 , 0 , 3 , 4.037486976069409 , 0 , 1 ,]
[, 55 , 1 , 7.212683839273619 , 0.08667775727343734 , 3 , 10.299361596547056 , 0 , 1 ,]
[, 102 , 16 , -0.059297499509664925 , 0 , 3 , 2.940702500490335 , 0 , 1 ,]
[, 121 , 2 , 2.3073200391365583 , 1.0600478181473127 , 0 , 3.3673678572838712 , 0 , 1 ,]
[, 142 , 4 , 11.862958299125376 , 1.4845331396754047 , 0 , 13.34749143880078 , 0 , 1 ,]
[, 156 , 6 , 12.106504453705261 , 2.1452279662926075 , 0 , 14.251732419997868 , 0 , 1 ,]
[, 76 , 9 , 11.547417403629419 , 0 , 0 , 11.547417403629419 , 0 , 1 ,]
[, 171 , 32 , -0.13222513607813816 , 0.27623252817248467 , 0 , 0.14400739209434651 , 0 , 1 ,]
[, 94 , 1 , 0.7621935817481325 , 0.7011000056077913 , 3 , 4.463293587355924 , 0 , 1 ,]
[, 174 , 8 , 4.395656462821932 , 0 , 0 , 4.395656462821932 , 0 , 1 ,]
[, 79 , 1 , -0.9813711534947931 , 1.1783710693103322 , 3 , 3.196999915815539 , 0 , 1 ,]
[, 125 , 1 , 14.66445348824447 , 1.4385432868645753 , 0 , 16.102996775109045 , 0 , 1 ,]
