[,behaviorspace-run-number,which-storm?,num-citizens,num-broadcasters,num-aggregators,distribute_population,earliest,latest,wind-threshold,forc-weight,evac-weight,envc-weight,network-distance,network-size,use-census-data,census-tract-min-pop,citizen-to-census-population-ratio,census-tract-max-pop,under-18-assessment-increase,over-65-assessment-decrease,limited-english-assessment-decrease,foodstamps-assessment-decrease,no-vehicle-assessment-modification,no-internet-assessment-modification,]
[, 0 , MICHAEL , 127 , 10 , 10 , false , 198 , 0 , 119 , 1.44 , 0.53 , 1 , 50 , 2 , false , 5900 , 6000 , 10000 , 0.5 , 0.4 , 1 , 1 , 0.5 , 1 ,]

[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 125 , 1 , 14.66445348824447 , 1.4385432868645753 , 0 , 16.102996775109045 , 0 , 1 ,]
[, 166 , 2 , 1.812322190178109 , 0 , 3 , 4.812322190178109 , 0 , 1 ,]
[, 62 , 32 , 15.387620061184252 , 0 , 0 , 15.387620061184252 , 0 , 1 ,]
[, 64 , 1 , 6.081541209009777 , 0 , 3 , 9.081541209009778 , 0 , 1 ,]
[, 165 , 1 , 11.773184908198964 , 1.132176758576524 , 0 , 12.905361666775487 , 0 , 1 ,]
[, 162 , 1 , 4.16961353817713 , 0 , 3 , 7.16961353817713 , 0 , 1 ,]
[, 151 , 4 , 4.236807579742638 , 0 , 0 , 4.236807579742638 , 0 , 1 ,]
[, 56 , 1 , 3.7119213110530236 , 0 , 3 , 6.711921311053024 , 0 , 1 ,]
[, 108 , 2 , 4.115721488843542 , 0 , 3 , 7.115721488843542 , 0 , 1 ,]
[, 90 , 2 , 3.0147343557665076 , 0.7860667003865883 , 0 , 3.800801056153096 , 0 , 1 ,]
[, 52 , 2 , 0.13285758037219655 , 0.7114051003729416 , 0 , 0.8442626807451381 , 0 , 1 ,]
[, 123 , 8 , 0.0059705163135456004 , 0.8458944554081009 , 0 , 0.8518649717216465 , 0 , 1 ,]
[, 174 , 8 , 4.395656462821932 , 0 , 0 , 4.395656462821932 , 0 , 1 ,]
[, 51 , 4 , 16.89303244216643 , 0 , 0 , 16.89303244216643 , 0 , 1 ,]
[, 77 , 4 , 1.0192653151334645 , 1.2275596133316364 , 0 , 2.246824928465101 , 0 , 1 ,]
[, 127 , 1 , -0.5710342294133495 , 0.24855525640445916 , 3 , 2.67752102699111 , 0 , 1 ,]
[, 173 , 1 , 3.0362606132702217 , 0.30604244425326554 , 0 , 3.342303057523487 , 0 , 1 ,]
[, 142 , 4 , 11.862958299125376 , 1.4845331396754047 , 0 , 13.34749143880078 , 0 , 1 ,]
[, 86 , 12 , 14.053538260438282 , 2.155724412788319 , 0 , 16.2092626732266 , 0 , 1 ,]
[, 169 , 1 , 12.889885572626424 , 2.6805470968832603 , 0 , 15.570432669509685 , 0 , 1 ,]
[, 120 , 1 , 16.945575203246406 , 0.6488043029545247 , 0 , 17.59437950620093 , 0 , 1 ,]
[, 148 , 2 , 0.6885773368147922 , 0.8872387619479868 , 0 , 1.575816098762779 , 0 , 1 ,]
[, 136 , 1 , 3.897695223877108 , 0 , 0 , 3.897695223877108 , 0 , 1 ,]
[, 79 , 1 , 1.1756429934827766 , 1.1783710693103322 , 3 , 5.354014062793109 , 0 , 1 ,]
[, 126 , 13 , 14.098997203932717 , 2.3993940657356467 , 0 , 16.498391269668364 , 0 , 1 ,]
[, 117 , 4 , 10.52891441801488 , 0 , 0 , 10.52891441801488 , 0 , 1 ,]
[, 119 , 2 , -0.9200767498660725 , 0.08966616674716106 , 0 , -0.8304105831189114 , 0 , 1 ,]
[, 167 , 1 , 0.4462297958106874 , 0.04625716631662964 , 3 , 3.492486962127317 , 0 , 1 ,]
[, 113 , 8 , 14.589450380086292 , 2.075648257317929 , 0 , 16.66509863740422 , 0 , 1 ,]
[, 67 , 8 , -0.0456186685238735 , 0.16337826575453754 , 3 , 3.117759597230664 , 0 , 1 ,]
[, 98 , 2 , 17.170159355415436 , 1.1042415849553984 , 0 , 18.274400940370835 , 0 , 1 ,]
[, 139 , 8 , 13.42765696281368 , 1.5401695877387016 , 0 , 14.967826550552381 , 0 , 1 ,]
[, 73 , 1 , 2.2057488761178328 , 1.1404282018063352 , 0 , 3.346177077924168 , 0 , 1 ,]
[, 109 , 7 , 7.736468998145953 , 0.2819528674864918 , 3 , 11.018421865632444 , 0 , 1 ,]
[, 138 , 4 , 1.6324602570343438 , 0.7654056085618292 , 0 , 2.397865865596173 , 0 , 1 ,]
[, 84 , 4 , 0.33967750924196927 , 0 , 0 , 0.33967750924196927 , 0 , 1 ,]
[, 137 , 2 , 2.115181830745235 , 0.3818789961127198 , 0 , 2.497060826857955 , 0 , 1 ,]
[, 102 , 16 , -0.059297499509664925 , 0 , 3 , 2.940702500490335 , 0 , 1 ,]
[, 128 , 1 , -0.21509708747376813 , 0.2556532040196583 , 3 , 3.0405561165458903 , 0 , 1 ,]
[, 170 , 10 , 14.865476385942538 , 2.9168660042337677 , 0 , 17.782342390176304 , 0 , 1 ,]
[, 118 , 20 , 15.618018731881778 , 0.6284184731371601 , 0 , 16.24643720501894 , 0 , 1 ,]
[, 93 , 8 , 2.5787309340392612 , 0 , 3 , 5.578730934039261 , 0 , 1 ,]
[, 161 , 2 , 0.4855189813191913 , 0.46748110636575774 , 0 , 0.953000087684949 , 0 , 1 ,]
[, 94 , 1 , 2.145516965082333 , 0.7011000056077913 , 3 , 5.846616970690125 , 0 , 1 ,]
[, 107 , 1 , 1.7242115796839432 , 0.3217845443607026 , 0 , 2.045996124044646 , 0 , 1 ,]
[, 63 , 1 , 5.839495265249442 , 0 , 3 , 8.839495265249443 , 0 , 1 ,]
[, 103 , 4 , 1.515133427072287 , 0.46051352545472873 , 0 , 1.9756469525270157 , 0 , 1 ,]
[, 147 , 1 , 18.33317515133341 , 0 , 0 , 18.33317515133341 , 0 , 1 ,]
[, 157 , 1 , 1.3131976502799076 , 0 , 3 , 4.313197650279908 , 0 , 1 ,]
[, 101 , 2 , 2.888383885860083 , 0 , 3 , 5.888383885860083 , 0 , 1 ,]
[, 50 , 2 , 3.991023106478429 , 0.9350770853444473 , 0 , 4.926100191822877 , 0 , 1 ,]
[, 97 , 8 , -0.9402901913916278 , 1.1151062260171507 , 0 , 0.17481603462552286 , 0 , 1 ,]
[, 152 , 5 , 13.557181120458592 , 2.962530167112586 , 0 , 16.519711287571177 , 0 , 1 ,]
[, 140 , 3 , 10.076302834206988 , 0 , 0 , 10.076302834206988 , 0 , 1 ,]
[, 159 , 2 , 17.608017211866468 , 0.5481011166884732 , 0 , 18.156118328554943 , 0 , 1 ,]
[, 106 , 16 , 0.39965752043727415 , 0.3159543597904671 , 0 , 0.7156118802277412 , 0 , 1 ,]
[, 55 , 1 , 1.1350952789730746 , 0.08667775727343734 , 3 , 4.221773036246512 , 0 , 1 ,]
[, 150 , 4 , 4.000269339177059 , 0.343758610962782 , 0 , 4.344027950139841 , 0 , 1 ,]
[, 143 , 1 , 10.833425234389596 , 0.22629779315464266 , 0 , 11.059723027544239 , 0 , 1 ,]
[, 164 , 1 , 13.978316133717168 , 0.21201722506914317 , 0 , 14.190333358786312 , 0 , 1 ,]
[, 88 , 1 , 9.30998136994839 , 1.1610784273417605 , 0 , 10.47105979729015 , 0 , 1 ,]
[, 75 , 3 , 13.138042598670573 , 2.8370236583654367 , 0 , 15.97506625703601 , 0 , 1 ,]
[, 129 , 2 , -1.2415886462156953 , 0 , 3 , 1.7584113537843047 , 0 , 1 ,]
[, 112 , 4 , 2.4769777318280175 , 0.33166494760806475 , 0 , 2.8086426794360824 , 0 , 1 ,]
[, 141 , 1 , 0.4014352588684576 , 2.811011981545543 , 0 , 3.2124472404140008 , 0 , 1 ,]
[, 96 , 1 , 2.4036740406072656 , 0.502454457837202 , 3 , 5.906128498444468 , 0 , 1 ,]
[, 61 , 1 , 3.1768694396283585 , 0 , 3 , 6.1768694396283585 , 0 , 1 ,]
[, 121 , 2 , -0.6741355661058708 , 1.0600478181473127 , 0 , 0.38591225204144197 , 0 , 1 ,]
[, 160 , 2 , 1.7582727334873847 , 0 , 0 , 1.7582727334873847 , 0 , 1 ,]
[, 145 , 1 , 4.580633799202973 , 0 , 3 , 7.580633799202973 , 0 , 1 ,]
[, 111 , 2 , 1.804763161306504 , 0 , 3 , 4.804763161306504 , 0 , 1 ,]
[, 60 , 1 , 2.6227723303894313 , 1.2470565893236232 , 3 , 6.869828919713054 , 0 , 1 ,]
[, 71 , 1 , -5.775968323319891E-6 , 1.2638345270052551 , 3 , 4.2638287510369315 , 0 , 1 ,]
[, 105 , 1 , 2.3602578117108406 , 0 , 3 , 5.360257811710841 , 0 , 1 ,]
[, 168 , 1 , 2.0086216930143594 , 0.2738803145903785 , 0 , 2.2825020076047378 , 0 , 1 ,]
[, 72 , 4 , -0.3036332184421412 , 1.14079718631545 , 0 , 0.8371639678733088 , 0 , 1 ,]
[, 163 , 3 , 14.573937807470097 , 1.341660720118848 , 0 , 15.915598527588944 , 0 , 1 ,]
[, 124 , 1 , 3.520657607744885 , 1.1683204985390527 , 0 , 4.688978106283938 , 0 , 1 ,]
[, 53 , 8 , -0.15767515246059427 , 0.6148622603960668 , 0 , 0.45718710793547257 , 0 , 1 ,]
[, 82 , 7 , 8.89625166411931 , 0 , 0 , 8.89625166411931 , 0 , 1 ,]
[, 58 , 2 , 0.040815273810275984 , 0.9937678715618902 , 0 , 1.0345831453721661 , 0 , 1 ,]
[, 132 , 16 , -0.667021304046764 , 0 , 0 , -0.667021304046764 , 0 , 1 ,]
[, 131 , 16 , 1.2329550266788718 , 0.05863356750210169 , 3 , 4.291588594180974 , 0 , 1 ,]
[, 48 , 8 , 15.356488401589019 , 2.0851421967825274 , 0 , 17.441630598371546 , 0 , 1 ,]
[, 65 , 8 , -0.8593893186819127 , 0 , 3 , 2.1406106813180874 , 0 , 1 ,]
[, 134 , 5 , 17.68971822706952 , 0.7697234789000055 , 0 , 18.459441705969525 , 0 , 1 ,]
[, 122 , 2 , 4.7368777560051 , 0.12504618326830974 , 0 , 4.86192393927341 , 0 , 1 ,]
[, 135 , 8 , -0.44737821259978033 , 1.2092782099133554 , 0 , 0.7618999973135752 , 0 , 1 ,]
[, 116 , 4 , 18.740163079235092 , 0 , 0 , 18.740163079235092 , 0 , 1 ,]
[, 54 , 4 , 0.26114070637585396 , 0.2061033262555849 , 0 , 0.4672440326314389 , 0 , 1 ,]
[, 149 , 3 , -0.13411809913097225 , 0 , 3 , 2.8658819008690277 , 0 , 1 ,]
[, 69 , 2 , 1.9205707792592717 , 0.5712404500253804 , 0 , 2.491811229284652 , 0 , 1 ,]
[, 133 , 1 , 8.317560479346593 , 0.578315865564388 , 3 , 11.895876344910981 , 0 , 1 ,]
[, 85 , 15 , 2.5667382249395136 , 0 , 3 , 5.566738224939513 , 0 , 1 ,]
[, 59 , 1 , 0.4755599843721219 , 1.2045724236069848 , 0 , 1.6801324079791067 , 0 , 1 ,]
[, 80 , 12 , -1.0761046067482385 , 0.17564716466811497 , 0 , -0.9004574420801235 , 0 , 1 ,]
[, 66 , 1 , 9.696186399793733 , 0.9027533552122271 , 0 , 10.59893975500596 , 0 , 1 ,]
[, 144 , 2 , 16.696248217498457 , 0 , 0 , 16.696248217498457 , 0 , 1 ,]
[, 89 , 6 , 18.566846478887335 , 1.6458448566728987 , 0 , 20.212691335560233 , 0 , 1 ,]
[, 154 , 3 , 5.921800422197649 , 0 , 3 , 8.921800422197649 , 0 , 1 ,]
[, 100 , 1 , 18.200407420030572 , 2.372426724357894 , 0 , 20.572834144388466 , 0 , 1 ,]
