[,behaviorspace-run-number,which-storm?,num-citizens,num-broadcasters,num-aggregators,distribute_population,earliest,latest,wind-threshold,forc-weight,evac-weight,envc-weight,network-distance,network-size,use-census-data,census-tract-min-pop,citizen-to-census-population-ratio,census-tract-max-pop,under-18-assessment-increase,over-65-assessment-decrease,limited-english-assessment-decrease,foodstamps-assessment-decrease,no-vehicle-assessment-modification,no-internet-assessment-modification,]
[, 0 , MICHAEL , 127 , 10 , 10 , false , 198 , 0 , 119 , 1.44 , 0.53 , 1 , 50 , 2 , false , 5900 , 6000 , 10000 , 0.5 , 0.4 , 1 , 1 , 0.5 , 1 ,]

[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 167 , 2 , 9.802380096115126 , 2.371646064831236 , 0 , 12.174026160946362 , 0 , 0.7777777777777778 ,]
[, 136 , 24 , 12.480938183586865 , 0.6088352500596943 , 0 , 13.08977343364656 , 0 , 0.7777777777777778 ,]
[, 110 , 6 , 7.915102603963433 , 0.3022903903282984 , 0 , 8.217392994291732 , 0 , 0.7777777777777778 ,]
[, 56 , 1 , 4.687564132647771 , 0.6052308945896068 , 0 , 5.292795027237378 , 0 , 0.7777777777777778 ,]
[, 97 , 20 , 17.578319921064416 , 0.887830005106813 , 0 , 18.46614992617123 , 0 , 0.7777777777777778 ,]
[, 66 , 32 , 1.1087373881775677 , 0 , 0 , 1.1087373881775677 , 0 , 0.7777777777777778 ,]
[, 127 , 20 , 6.477482246328952 , 0 , 0 , 6.477482246328952 , 0 , 0.7777777777777778 ,]
[, 109 , 26 , 1.5517435622652533 , 0.3206882501456519 , 0 , 1.8724318124109052 , 0 , 0.7777777777777778 ,]
[, 133 , 13 , 13.144362807669122 , 2.578501835937366 , 0 , 15.722864643606488 , 0 , 0.7777777777777778 ,]
[, 105 , 32 , -0.47971713604279403 , 0 , 0 , -0.47971713604279403 , 0 , 0.7777777777777778 ,]
[, 107 , 16 , 7.905581341284007 , 0 , 0 , 7.905581341284007 , 0 , 0.7777777777777778 ,]
[, 67 , 3 , 8.316111063409407 , 0.822442561891931 , 0 , 9.138553625301338 , 0 , 0.7777777777777778 ,]
[, 173 , 6 , 1.9079560777334499 , 0.8301244520728586 , 0 , 2.7380805298063082 , 0 , 0.7777777777777778 ,]
[, 84 , 1 , 11.30431096071389 , 0.1575032037023255 , 0 , 11.461814164416216 , 0 , 0.7777777777777778 ,]
[, 140 , 6 , 8.957404658800497 , 0 , 0 , 8.957404658800497 , 0 , 0.7777777777777778 ,]
[, 79 , 5 , 13.190546573136226 , 2.809528506479797 , 0 , 16.000075079616025 , 0 , 0.7777777777777778 ,]
