[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 39 , 18 , -0.32214992182881214 , 0 , 0 , -0.32214992182881214 , 0 , 0 ,]
[, 80 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 53 , 24 , 0.3998320089435541 , 0.5078826674871898 , 0 , 0.9077146764307439 , 0 , 0 ,]
[, 101 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 95 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 76 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 42 , 12 , 2.5028244549236076 , 0.03759753992125514 , 0 , 2.5404219948448628 , 0 , 0 ,]
[, 73 , 4 , 1.9568250810296877 , 0.6051530992511425 , 0 , 2.56197818028083 , 0 , 0 ,]
[, 78 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 62 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 55 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 47 , 5 , 4.134760093245697 , 1.2792003439744606 , 0 , 5.413960437220158 , 0 , 0 ,]
[, 97 , 12 , 1.0896496548925387 , 0 , 0 , 1.0896496548925387 , 0 , 0 ,]
[, 91 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 59 , 17 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 50 , 18 , 1.2623653703364075 , 0 , 0 , 1.2623653703364075 , 0 , 0 ,]
[, 84 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 70 , 30 , -0.0553908191585335 , 0.26211345759687077 , 0 , 0.20672263843833727 , 0 , 0 ,]
[, 83 , 22 , -0.22268014976526798 , 0.3046813207831584 , 0 , 0.08200117101789042 , 0 , 0 ,]
[, 71 , 24 , -0.006993823444217986 , 0 , 0 , -0.006993823444217986 , 0 , 0 ,]
[, 68 , 6 , 7.275681102492043 , 0.3927261347189681 , 0 , 7.668407237211011 , 0 , 0 ,]
