[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 101 , 4 , 12.855121451802464 , 1.9800251469531895 , 0 , 14.835146598755653 , 0 , 1 ,]
[, 56 , 4 , 16.294038940013987 , 1.3403695336330865 , 0 , 17.634408473647074 , 0 , 1 ,]
[, 46 , 4 , 3.3400797137337266 , 0.5745679001298803 , 0 , 3.914647613863607 , 0 , 1 ,]
[, 84 , 1 , 4.88934671898945 , 0.8954042467983047 , 3 , 8.784750965787754 , 0 , 1 ,]
[, 69 , 1 , 17.043495192070438 , 0.21500110445720894 , 0 , 17.258496296527646 , 0 , 1 ,]
[, 47 , 13 , 18.16414188191781 , 0.13952259177881612 , 0 , 18.303664473696628 , 0 , 1 ,]
[, 39 , 1 , 5.1686726575011654 , 0.6003462243484944 , 3 , 8.76901888184966 , 0 , 1 ,]
[, 88 , 1 , -0.038740592677284594 , 0 , 3 , 2.961259407322715 , 0 , 1 ,]
[, 65 , 1 , 5.022606522938623 , 1.2091632941274304 , 0 , 6.231769817066053 , 0 , 1 ,]
[, 85 , 4 , 1.1751885633827042 , 0.6353880552689244 , 0 , 1.8105766186516286 , 0 , 1 ,]
[, 44 , 1 , 3.6094727586096504 , 0 , 3 , 6.60947275860965 , 0 , 1 ,]
[, 43 , 22 , 4.246385341746422 , 0 , 0 , 4.246385341746422 , 0 , 1 ,]
[, 90 , 11 , 17.03266020683822 , 1.3467019593569902 , 0 , 18.37936216619521 , 0 , 1 ,]
[, 57 , 2 , -0.6127345015702951 , 1.36619030656376 , 0 , 0.7534558049934649 , 0 , 1 ,]
[, 60 , 1 , 5.29819065165022 , 0.7615030600101312 , 3 , 9.059693711660351 , 0 , 1 ,]
[, 64 , 2 , 17.571110768445656 , 0.6800159211601893 , 0 , 18.251126689605847 , 0 , 1 ,]
[, 77 , 2 , -0.7061171146881612 , 0 , 0 , -0.7061171146881612 , 0 , 1 ,]
[, 66 , 2 , 0.8465035847398215 , 0.011952407627737588 , 0 , 0.8584559923675591 , 0 , 1 ,]
[, 67 , 1 , 14.564614810234294 , 1.3457488194805647 , 0 , 15.910363629714858 , 0 , 1 ,]
[, 94 , 2 , 3.627427015112998 , 0.5400694248140099 , 0 , 4.167496439927008 , 0 , 1 ,]
[, 61 , 8 , 0.07581702687388131 , 0 , 3 , 3.075817026873881 , 0 , 1 ,]
[, 87 , 13 , 14.272130465858305 , 2.4458693813619345 , 0 , 16.71799984722024 , 0 , 1 ,]
[, 42 , 2 , 16.02026637350825 , 2.044243848772209 , 0 , 18.064510222280457 , 0 , 1 ,]
[, 62 , 4 , 14.163192029854208 , 0 , 0 , 14.163192029854208 , 0 , 1 ,]
[, 100 , 1 , 14.258853870998005 , 2.861416383877321 , 0 , 17.120270254875326 , 0 , 1 ,]
[, 82 , 4 , 4.500769401240104 , 0 , 0 , 4.500769401240104 , 0 , 1 ,]
[, 78 , 1 , 3.3419351816031213 , 1.0782348016167331 , 3 , 7.420169983219854 , 0 , 1 ,]
[, 93 , 1 , 14.509798155877826 , 2.243394135342537 , 0 , 16.753192291220362 , 0 , 1 ,]
[, 59 , 1 , 5.147770179000182 , 0.55569289858641 , 0 , 5.703463077586592 , 0 , 1 ,]
[, 52 , 3 , 11.679348748154478 , 2.0344937535925873 , 0 , 13.713842501747065 , 0 , 1 ,]
[, 53 , 12 , 1.1634474312303746 , 1.1789623960091897 , 0 , 2.3424098272395644 , 0 , 1 ,]
[, 74 , 32 , -0.5606446893411237 , 0 , 0 , -0.5606446893411237 , 0 , 1 ,]
[, 72 , 12 , 17.131370793965957 , 1.523197312428562 , 0 , 18.654568106394517 , 0 , 1 ,]
[, 70 , 1 , 4.536148016396376 , 0.44395747972050903 , 3 , 7.9801054961168845 , 0 , 1 ,]
[, 97 , 7 , 3.3817729885058436 , 0.17604648958883837 , 0 , 3.557819478094682 , 0 , 1 ,]
[, 98 , 1 , 6.106271905611348 , 0 , 3 , 9.106271905611347 , 0 , 1 ,]
[, 86 , 1 , 5.728762642565183 , 0.4868570189614918 , 3 , 9.215619661526674 , 0 , 1 ,]
[, 45 , 1 , 3.612388734016379 , 0.800175966584259 , 3 , 7.412564700600638 , 0 , 1 ,]
[, 95 , 1 , 15.13653086084143 , 1.6742398207562463 , 0 , 16.810770681597678 , 0 , 1 ,]
[, 51 , 16 , 13.694476677773064 , 0.02501264154570749 , 0 , 13.719489319318772 , 0 , 1 ,]
[, 99 , 2 , 0.2462437597344245 , 0.803534899528505 , 0 , 1.0497786592629295 , 0 , 1 ,]
[, 54 , 24 , -0.046355416093436505 , 1.0369577583191145 , 0 , 0.990602342225678 , 0 , 1 ,]
[, 48 , 2 , 18.091747402572345 , 0.02338582212770098 , 0 , 18.115133224700045 , 0 , 1 ,]
[, 76 , 1 , 2.3345253508287986 , 2.116749403853645 , 0 , 4.451274754682444 , 0 , 1 ,]
[, 73 , 1 , 14.943919837833578 , 0.8732235002431628 , 0 , 15.81714333807674 , 0 , 1 ,]
[, 91 , 3 , 11.949301882019395 , 1.6837021946310604 , 0 , 13.633004076650455 , 0 , 1 ,]
[, 89 , 1 , 0.8801984879917445 , 0.7856337783784971 , 3 , 4.665832266370241 , 0 , 1 ,]
[, 83 , 1 , 17.743745462266585 , 1.4820340382725015 , 0 , 19.225779500539087 , 0 , 1 ,]
[, 40 , 24 , 0.4717561715066303 , 1.2377764473535935 , 0 , 1.7095326188602238 , 0 , 1 ,]
[, 41 , 1 , 2.933601211375867 , 0 , 3 , 5.933601211375867 , 0 , 1 ,]
[, 75 , 32 , 0.6602990670007455 , 0.45344786532136305 , 0 , 1.1137469323221085 , 0 , 1 ,]
[, 50 , 16 , 3.416325146645881 , 1.2551840681044726 , 0 , 4.671509214750353 , 0 , 1 ,]
[, 63 , 1 , 2.045110368773381 , 0.7180027057816413 , 3 , 5.763113074555022 , 0 , 1 ,]
[, 79 , 2 , 9.92256203226083 , 1.119039014937845 , 0 , 11.041601047198675 , 0 , 1 ,]
[, 49 , 12 , 14.757616208211608 , 1.2221918822499034 , 0 , 15.979808090461512 , 0 , 1 ,]
[, 80 , 1 , 3.5634106253184306 , 0 , 3 , 6.563410625318431 , 0 , 1 ,]
[, 55 , 22 , 0.21592162396594852 , 0.17311085589027123 , 0 , 0.38903247985621975 , 0 , 1 ,]
[, 96 , 8 , 0.9889159374776075 , 0 , 0 , 0.9889159374776075 , 0 , 1 ,]
[, 71 , 8 , 0.9517264801347166 , 0.47448938695016535 , 0 , 1.426215867084882 , 0 , 1 ,]
[, 58 , 1 , 3.9499663019074607 , 0.42296018454308043 , 3 , 7.372926486450541 , 0 , 1 ,]
[, 68 , 3 , 9.30337066690374 , 0.33605719034987497 , 0 , 9.639427857253615 , 0 , 1 ,]
[, 92 , 7 , 12.920973133482658 , 1.191539515520038 , 0 , 14.112512649002696 , 0 , 1 ,]
[, 38 , 10 , 11.229274526793494 , 1.1257208330265256 , 0 , 12.35499535982002 , 0 , 1 ,]
[, 81 , 4 , 13.124821070684881 , 1.754721822796802 , 0 , 14.879542893481682 , 0 , 1 ,]
