[,behaviorspace-run-number,which-storm?,num-citizens,num-broadcasters,num-aggregators,distribute_population,earliest,latest,wind-threshold,forc-weight,evac-weight,envc-weight,network-distance,network-size,use-census-data,census-tract-min-pop,citizen-to-census-population-ratio,census-tract-max-pop,under-18-assessment-increase,over-65-assessment-decrease,limited-english-assessment-decrease,foodstamps-assessment-decrease,no-vehicle-assessment-modification,no-internet-assessment-modification,]
[, 0 , MICHAEL , 127 , 10 , 10 , false , 198 , 0 , 119 , 1.44 , 0.53 , 1 , 50 , 2 , false , 5900 , 6000 , 10000 , 0.5 , 0.4 , 1 , 1 , 0.5 , 1 ,]

[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 137 , 9 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 62 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 101 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 86 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 155 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 118 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 124 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 99 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 64 , 18 , -1.0499423888568704 , 0 , 0 , -1.0499423888568704 , 0 , 0 ,]
[, 126 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 87 , 5 , 2.0562350133575937 , 2.798539990831148 , 0 , 4.854775004188742 , 0 , 0 ,]
[, 100 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 120 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 85 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 144 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 133 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 140 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 68 , 8 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 174 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 71 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 159 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 136 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 139 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 167 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 67 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 114 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 51 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 164 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 80 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 158 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 145 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 92 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 171 , 9 , 0.6559136077217714 , 2.4530666916558714 , 0 , 3.108980299377643 , 0 , 0 ,]
[, 61 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 112 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
