[,behaviorspace-run-number,which-storm?,num-citizens,num-broadcasters,num-aggregators,distribute_population,earliest,latest,wind-threshold,forc-weight,evac-weight,envc-weight,network-distance,network-size,use-census-data,census-tract-min-pop,citizen-to-census-population-ratio,census-tract-max-pop,under-18-assessment-increase,over-65-assessment-decrease,limited-english-assessment-decrease,foodstamps-assessment-decrease,no-vehicle-assessment-modification,no-internet-assessment-modification,]
[, 0 , MICHAEL , 127 , 10 , 10 , false , 198 , 0 , 119 , 1.44 , 0.53 , 1 , 50 , 2 , false , 5900 , 6000 , 10000 , 0.5 , 0.4 , 1 , 1 , 0.5 , 1 ,]

[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 57 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 157 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 148 , 9 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 147 , 9 , 2.4515870498984644 , 0 , 0 , 2.4515870498984644 , 0 , 0 ,]
[, 164 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 61 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 173 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 107 , 8 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 171 , 9 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 59 , 8 , 2.396440180946851 , 0 , 0 , 2.396440180946851 , 0 , 0 ,]
[, 140 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 91 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 67 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 62 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 49 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 158 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 52 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 134 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 87 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 80 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 118 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 114 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 54 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 156 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 167 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 68 , 8 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 143 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 120 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 139 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 55 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 65 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 125 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 174 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 79 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 162 , 8 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 76 , 9 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 63 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 75 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 99 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 144 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 64 , 18 , -1.0499423888568704 , 0 , 0 , -1.0499423888568704 , 0 , 0 ,]
[, 51 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 53 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 100 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 159 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 141 , 9 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 121 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 103 , 9 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 96 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 129 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 95 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 89 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 69 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 132 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 90 , 9 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 142 , 17 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 85 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 145 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 73 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 111 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 66 , 15 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 161 , 13 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 93 , 12 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 104 , 11 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 127 , 10 , 0 , 0 , 0 , 0 , 0 , 0 ,]
[, 56 , 14 , 0 , 0 , 0 , 0 , 0 , 0 ,]
